date,revid,parentid,timestamp,size,comment,edits,origin,diff
2023-07-04,1163346141,1163327924,2023-07-04T10:21:15Z,340416,changing wording to internally displaced in lead (discussed on talk page),5,false,"On 24 February 2022, Russia invaded Ukraine in an escalation of the Russo-Ukrainian War which began in 2014. The invasion has killed tens of thousands on both sides, with Russian troops causing mass civilian casualties and captured Ukrainian soldiers reporting frequent torture. By June 2022, about 8 million Ukrainians were ||u||107++internally ||a||2++displaced||u||1++ within their country||r||6++. More than 8.2 million fled the country by May 2023, Europe's largest refugee crisis since World War II. Extensive environmental damage, widely described as ecocide, contributed to the 2022 food crises.
Prior to the invasion, Russian troops concentrated near Ukraine's borders, as Russian officials denied plans to attack. Vladimir Putin announced a ""special military operation"" to support the breakaway republics of Donetsk and Luhansk, whose military forces were fighting Ukraine in the Donbas conflict, claiming the goal was to ""demilitarise"" and ""denazify"" Ukraine. Putin espoused irredentist views, challenged Ukraine's right to exist, and falsely claimed that Ukraine was governed by neo-Nazis persecuting the ethnic Russian minority. Russian air strikes and a ground invasion launched at a northern front from Belarus towards Kyiv, a north-eastern front towards Kharkiv, a southern front from Crimea, and a south-eastern front from the Donbas. Ukraine enacted martial law and ordered a general mobilisation.
Russian troops retreated from the northern front by April 2022. On the southern and south-eastern fronts, Russia captured Kherson in March and Mariupol in May after a destructive siege. In April, Russia launched a renewed battle of Donbas. Russian forces continued to bomb military and civilian targets far from the front line, including the energy grid through the winter. In late 2022, Ukraine launched counteroffensives in the south and east. Soon after, Russia announced the illegal annexation of four partly-occupied oblasts. In November, Ukraine retook parts of Kherson Oblast. In February 2023, Russia mobilised nearly 200,000 soldiers for a new offensive in Donbas. In June 2023, Ukraine launched another counteroffensive in the southeast.
The invasion was met with international condemnation. The United Nations General Assembly passed Resolution ES-11/1 condemning the invasion and demanding a full Russian withdrawal. The International Court of Justice ordered Russia to suspend military operations and the Council of Europe expelled Russia. Many countries imposed sanctions on Russia and its ally Belarus, and provided humanitarian and military aid and sales to Ukraine. Protests occurred around the world, with anti war protesters in Russia subject to mass arrests and increased media censorship. Over 1,000 companies left Russia and Belarus in response to the invasion. The International Criminal Court (ICC) opened an investigation into possible crimes against humanity, war crimes, abduction of children, and genocide, issuing an arrest warrant for Putin in March 2023.||u||850"
2023-07-03,1163225078,1163214967,2023-07-03T16:59:19Z,339477,/* Prelude */ linked to NATO in an image caption,7,false,"On 24 February 2022, Russia invaded Ukraine in an escalation of the Russo-Ukrainian War which began in 2014. The invasion has killed tens of thousands on both sides, ||u||61++and||r||1++with||a||1++ ||u||1++caused||r||1++Russian||a||1++ ||u||1++Europe's||r||3++troops||a||1++ ||u||1++largest||r||1++causing||a||1++ ||u||1++refugee||r||1++mass||a||1++ ||u||1++crisis||r||1++civilian||a||1++ ||u||1++since||r||1++casualties||a||1++ ||u||1++World||r||1++and||a||1++ ||u||1++War||r||1++captured||a||1++ ||u||1++II||r||1++Ukrainian soldiers reporting frequent torture||a||9++. By June 2022, about 8 million Ukrainians were displaced within their country. More than 8.2 million fled the country by May 2023||u||49++, Europe's largest refugee crisis since World War II||a||19++. ||u||2++Extensive environmental damage, widely described as ecocide, contributed to the 2022 food crises.
||a||29++Prior to the invasion, Russian troops concentrated near Ukraine's borders, as Russian officials denied plans to attack. Vladimir Putin announced a ""special military operation"" to support the breakaway republics of Donetsk and Luhansk, whose military forces were fighting Ukraine in the Donbas conflict, claiming the goal was to ""demilitarise"" and ""denazify"" Ukraine. Putin espoused irredentist views, challenged Ukraine's right to exist, and falsely claimed that Ukraine was governed by neo-Nazis persecuting the ethnic Russian minority. Russian air strikes and a ground invasion launched at a northern front from Belarus towards Kyiv, a north-eastern front towards Kharkiv, a southern front from Crimea, and a south-eastern front from the Donbas. Ukraine enacted martial law and ordered a general mobilisation.
Russian troops retreated from the northern front by April 2022. On the southern and south-eastern fronts, Russia captured Kherson in March and Mariupol in May after a destructive siege. In April, Russia launched a renewed battle of Donbas. Russian forces continued to bomb military and civilian targets far from the front line, including the energy grid through the winter. In late 2022, Ukraine launched counteroffensives in the south and east. Soon after, Russia announced the illegal annexation of four partly-occupied oblasts. In November, Ukraine retook parts of Kherson Oblast. In February 2023, Russia mobilised nearly 200,000 soldiers for a new offensive in Donbas. In June 2023, Ukraine launched another counteroffensive in the southeast.
The invasion was met with international condemnation. The United Nations General Assembly passed Resolution ES-11/1 condemning the invasion and demanding a full Russian withdrawal. The International Court of Justice ordered Russia to suspend military operations and the Council of Europe expelled Russia. Many countries imposed sanctions on Russia and its ally Belarus, and provided humanitarian and military aid and sales to Ukraine. Protests occurred around the world, with anti war protesters in Russia subject to mass arrests and increased media censorship. Over 1,000 companies left Russia and Belarus in response to the invasion. The International Criminal Court (ICC) opened an investigation into possible crimes against humanity, war crimes, abduction of children, and genocide, issuing an arrest warrant for Putin in March 2023.||u||777"
2023-07-02,1163003423,1163002577,2023-07-02T10:37:19Z,337272,slightly simplifying grammar in lead,8,false,"On 24 February 2022, Russia invaded Ukraine in an escalation of the Russo-Ukrainian War||u||30++,||r||1++ ||u||1++beginning||r||1++which||a||1++ ||u||1++began ||a||2++in 2014. The invasion has ||u||11++resulted||r||1++killed||a||1++ ||u||1++in ||r||2++tens of thousands ||u||6++of deaths ||r||4++on both sides, and caused Europe's largest refugee crisis since World War II. By June 2022, about 8 million Ukrainians were displaced within their country. More than 8.2 million fled the country by May 2023.
Prior to the invasion, Russian troops concentrated near Ukraine's borders, ||u||103++while||r||1++as||a||1++ Russian officials denied plans to attack. Vladimir Putin announced a ""special military operation"" to support the breakaway republics of Donetsk and Luhansk, whose military forces were fighting Ukraine in the Donbas conflict, claiming the goal was to ""demilitarise"" and ""denazify"" Ukraine. Putin espoused irredentist views, challenged Ukraine's right to exist, and falsely claimed that Ukraine was governed by neo-Nazis ||u||135++who||r||1++persecuting||a||1++ ||u||1++persecuted ||r||2++the ethnic Russian minority. Russian air strikes and a ground invasion ||u||23++were ||r||2++launched ||u||2++along||r||1++at||a||1++ a northern front from Belarus towards Kyiv, a north-eastern front towards Kharkiv, a southern front from Crimea, and a south-eastern front from the Donbas. Ukraine enacted martial law and ordered a general mobilisation.
Russian troops retreated from the northern front by April 2022. On the southern and south-eastern fronts, Russia captured Kherson in March and Mariupol in May after a destructive siege. In April, Russia launched a renewed battle of Donbas. Russian forces continued to bomb military and civilian targets far from the front line, including the energy grid through the winter. In late 2022, Ukraine launched counteroffensives in the south and east. Soon after, Russia announced the illegal annexation of four partly-occupied oblasts. In November, Ukraine retook parts of Kherson Oblast. ||u||271++Throughout||r||1++In||a||1++ February 2023, Russia mobilised nearly 200,000 soldiers for a new offensive in Donbas. In June 2023, Ukraine launched another counteroffensive in the southeast.
The invasion was met with international condemnation. The United Nations General Assembly passed Resolution ES-11/1 condemning the invasion and demanding a full Russian withdrawal. The International Court of Justice ordered Russia to suspend military operations and the Council of Europe expelled Russia. Many countries imposed sanctions on Russia||u||155++,||r||1++ and ||u||3++on ||r||2++its ally Belarus, and provided humanitarian and military aid ||u||19++and sales ||a||4++to Ukraine. Protests occurred around the world||u||14++.||r||1++,||a||1++ ||u||1++Anti||r||1++with||a||1++ ||u||1++anti ||a||2++war protesters in Russia ||u||8++were ||r||2++subject to mass arrests and increased media censorship. Over 1,000 companies left Russia and Belarus in response to the invasion. The International Criminal Court (ICC) opened an investigation into possible crimes against humanity, war crimes, abduction of children, and genocide, issuing an arrest warrant for Putin in March 2023.||u||108"
2023-07-01,1162880573,1162834285,2023-07-01T17:07:47Z,337313,small grammar fixes to lead and adding a link to WW2,4,false,"On 24 February 2022, Russia invaded Ukraine in an escalation of the Russo-Ukrainian War, ||u||32++which||r||1++beginning||a||1++ ||u||1++began ||r||2++in 2014. The invasion has resulted in tens of thousands of deaths on both sides, and caused Europe's largest refugee crisis since World War II. By June 2022, about 8 million Ukrainians were displaced within their country. More than 8.2 million fled the country by May 2023.
Prior to the invasion, Russian troops concentrated near Ukraine's borders, while Russian officials denied plans to attack. Vladimir Putin announced a ""special military operation"" to support the breakaway republics of Donetsk and Luhansk, whose military forces were fighting Ukraine in the Donbas conflict||u||197++.||r||1++,||a||1++ ||u||1++He||r||1++claiming||a||1++ ||u||1++said ||r||2++the goal was to ""demilitarise"" and ""denazify"" Ukraine. Putin espoused irredentist views, challenged Ukraine's right to exist, and falsely claimed that Ukraine was governed by neo-Nazis who persecuted the ethnic Russian minority. Russian air strikes and a ground invasion were launched along a northern front from Belarus towards Kyiv, a north-eastern front towards Kharkiv, a southern front from Crimea, and a south-eastern front from the Donbas. Ukraine enacted martial law and ordered a general mobilisation.
Russian troops retreated from the northern front by April 2022. On the southern and south-eastern fronts, Russia captured Kherson in March and Mariupol in May after a destructive siege. In April, Russia launched a renewed battle of Donbas. Russian forces continued to bomb military and civilian targets far from the front line, including the energy grid through the winter. In late 2022, Ukraine launched counteroffensives in the south and ||u||319++in the ||r||4++east. Soon after, Russia announced the illegal annexation of four partly-occupied oblasts. In November, Ukraine retook parts of Kherson Oblast. Throughout February 2023, Russia mobilised nearly 200,000 soldiers for a new offensive in Donbas. In June 2023, Ukraine launched another counteroffensive in the southeast.
The invasion ||u||105++has||r||1++was||a||1++ ||u||1++been ||r||2++met with international condemnation. The United Nations General Assembly passed Resolution ES-11/1 condemning the invasion and demanding a full Russian withdrawal. The International Court of Justice ordered Russia to suspend military operations and the Council of Europe expelled Russia. Many countries imposed sanctions on Russia, and on its ally Belarus, and provided humanitarian and military aid to Ukraine. Protests occurred around the world. ||u||137++Those||r||1++Anti||a||1++ ||u||1++war protesters ||a||4++in Russia were ||u||6++met||r||1++subject||a||1++ ||u||1++with||r||1++to||a||1++ mass arrests and increased media censorship. Over 1,000 companies left Russia and Belarus in response to the invasion. The International Criminal Court (ICC) opened an investigation into possible crimes against humanity, war crimes, abduction of children, and genocide, issuing an arrest warrant for Putin in March 2023.||u||105"
2023-06-30,1162691429,1162658841,2023-06-30T16:02:56Z,337249,/* Foreign involvement */ adding years to dates to avoid confusion,28,false,"On 24 February 2022, Russia invaded ||u||13++and occupied parts of ||r||8++Ukraine in ||u||4++a||r||1++an||a||1++ ||u||1++major ||r||2++escalation of the Russo-Ukrainian War, which ||u||15++had||r||1++began||a||1++ ||u||1++begun ||r||2++in 2014. The invasion has resulted in tens of thousands of deaths on both sides, and ||u||34++instigated||r||1++caused||a||1++ Europe's largest refugee crisis since World War II. By June 2022, about 8 million Ukrainians were displaced within their country||u||44++;||r||1++.||a||1++ ||u||1++more||r||1++More||a||1++ than 8.2 million ||u||9++had ||r||2++fled the country by May 2023.
||u||13++For||r||1++Prior||a||1++ ||u||1++months||r||1++to||a||1++ ||u||1++before ||r||2++the invasion, Russian troops ||u||9++had||r||1++concentrated||a||1++ ||u||1++been||r||1++near||a||1++ ||u||1++concentrating around ||r||4++Ukraine's borders||u||5++,||a||1++ while Russian officials ||u||7++repeatedly ||r||2++denied plans to attack||u||7++ Ukraine||r||2++. ||u||2++On 24 February 2022, Russian President ||r||13++Vladimir Putin announced a ""special military operation"" to support the ||u||22++Russian-controlled ||r||4++breakaway republics of Donetsk and Luhansk, whose military forces ||u||19++had||r||1++were||a||1++ ||u||1++been ||r||2++fighting Ukraine in the Donbas conflict. He said the goal was to ""demilitarise"" and ""denazify"" Ukraine. Putin espoused irredentist views, challenged Ukraine's right to exist, and falsely claimed that Ukraine was governed by neo-Nazis who persecuted the ethnic Russian minority. ||u||93++Minutes later, ||r||5++Russian air strikes and a ground invasion were launched along a northern front from Belarus towards Kyiv, a north-eastern front towards Kharkiv, a southern front from Crimea, and a south-eastern front from the Donbas. ||u||76++In||r||1++Ukraine||a||1++ ||u||1++response, Ukrainian president Volodymyr Zelenskyy ||r||11++enacted martial law and ordered a general mobilisation.
Russian troops ||u||21++had ||r||2++retreated from the northern front by April 2022. On the southern and south-eastern fronts, Russia captured Kherson in March and ||u||44++then ||r||2++Mariupol in May after a destructive siege. ||u||15++On||r||1++In||a||1++ ||u||1++18 ||r||2++April, Russia launched a renewed battle of Donbas. Russian forces continued to bomb ||u||28++both ||r||2++military and civilian targets far from the front line, including ||u||21++Ukraine's||r||3++the||a||1++ energy grid ||u||5++throughout||r||1++through||a||1++ the winter. In late 2022, Ukraine launched counteroffensives in the south and in the east. Soon after, Russia announced the illegal annexation of four partly-occupied oblasts. In November, Ukraine retook parts of Kherson Oblast||u||76++, including the city of Kherson||r||11++. Throughout February 2023, Russia mobilised nearly 200,000 soldiers for a ||u||25++renewed||r||1++new||a||1++ offensive in Donbas. In June 2023, Ukraine launched another counteroffensive in the southeast.
The invasion has been met with ||u||42++widespread ||r||2++international condemnation. The United Nations General Assembly passed Resolution ES-11/1 condemning the invasion and demanding a full ||u||39++withdrawal of ||r||4++Russian ||u||2++forces||r||1++withdrawal||a||1++. The International Court of Justice ordered Russia to suspend military operations and the Council of Europe expelled Russia. Many countries imposed sanctions on Russia, and on its ally Belarus, and provided humanitarian and military aid to Ukraine. Protests occurred around the world||u||89++;||r||1++.||a||1++ ||u||1++those||r||1++Those||a||1++ in Russia were met with mass arrests and increased media censorship. Over 1,000 companies left Russia and Belarus in response to the invasion. The International Criminal Court (ICC) opened an investigation into possible crimes against humanity, war crimes, abduction of children, and genocide||u||95++ during the invasion||r||6++, issuing an arrest warrant for Putin in March 2023.||u||20"
2023-06-26,1162094645,1162065757,2023-06-26T23:39:34Z,336879,changed link in lead to lead to page on martial law in ukraine instead of leading to the broader page on martial law,5,false,"On 24 February 2022, Russia invaded and occupied parts of Ukraine in a major escalation of the Russo-Ukrainian War, which had begun in 2014. The invasion has resulted in tens of thousands of deaths on both sides, and instigated Europe's largest refugee crisis since World War II. ||u||103++About||r||1++By||a||1++ ||u||1++June 2022, about ||a||7++8 million Ukrainians were displaced within their country||u||15++;||a||1++ ||u||1++by June, and ||r||7++more than 8.2 million had fled the country by May 2023.
For months before the invasion, Russian troops had been concentrating around Ukraine's borders while Russian officials repeatedly denied plans to attack Ukraine. On 24 February 2022, Russian President Vladimir Putin announced a ""special military operation"" to support the Russian-controlled breakaway republics of Donetsk and Luhansk, whose military forces had been fighting Ukraine in the Donbas conflict. He said the goal was to ""demilitarise"" and ""denazify"" Ukraine. Putin espoused irredentist views, challenged Ukraine's right to exist, and falsely claimed that Ukraine was governed by neo-Nazis who persecuted the ethnic Russian minority. Minutes later, Russian air strikes and a ground invasion were launched along a northern front from Belarus towards Kyiv, a north-eastern front towards Kharkiv, a southern front from Crimea, and a south-eastern front from the Donbas. In response, Ukrainian president Volodymyr Zelenskyy enacted martial law and ordered a general mobilisation.
Russian troops had retreated from the northern front by April 2022. On the southern and south-eastern fronts, Russia captured Kherson in March and then Mariupol in May after a destructive siege. On 18 April, Russia launched a renewed battle of Donbas. Russian forces continued to bomb both military and civilian targets far from the front line, including Ukraine's energy grid throughout the winter. In late 2022, Ukraine launched counteroffensives in the south and in the east. Soon after, Russia announced the illegal annexation of four partly-occupied oblasts. In November, Ukraine retook parts of Kherson Oblast, including the city of Kherson. Throughout February 2023, Russia mobilised nearly 200,000 soldiers for a renewed offensive in Donbas. In June 2023, Ukraine launched another counteroffensive in the southeast.
The invasion has been met with widespread international condemnation. The United Nations General Assembly passed Resolution ES-11/1 condemning the invasion and demanding a full withdrawal of Russian forces. The International Court of Justice ordered Russia to suspend military operations and the Council of Europe expelled Russia. Many countries imposed sanctions on Russia, and on its ally Belarus, and provided humanitarian and military aid to Ukraine. Protests occurred around the world; those in Russia were met with mass arrests and increased media censorship. Over 1,000 companies left Russia and Belarus in response to the invasion. The International Criminal Court (ICC) opened an investigation into possible crimes against humanity, war crimes, abduction of children, and genocide during the invasion, issuing an arrest warrant for Putin in March 2023.||u||886"
2023-06-19,1160915519,1160894097,2023-06-19T14:03:56Z,338531,/* Casualties */,8,false,"On 24 February 2022, Russia invaded and occupied parts of Ukraine in a major escalation of the Russo-Ukrainian War, which had begun in 2014. The invasion has resulted in tens of thousands of deaths on both sides, and instigated Europe's largest refugee crisis since World War II. About 8 million Ukrainians were displaced within their country by June, and more than 8.2 million had fled the country by May 2023.
For months before the invasion, Russian troops had been concentrating around Ukraine's borders while Russian officials repeatedly denied plans to attack Ukraine. On 24 February 2022, Russian President Vladimir Putin announced a ""special military operation"" to support the Russian-controlled breakaway republics of Donetsk and Luhansk, whose military forces had been fighting Ukraine in the Donbas conflict. He said the goal was to ""demilitarise"" and ""denazify"" Ukraine. Putin espoused irredentist views, challenged Ukraine's right to exist, and falsely claimed that Ukraine was governed by neo-Nazis who persecuted the ethnic Russian minority. Minutes later, Russian air strikes and a ground invasion were launched along a northern front from Belarus towards Kyiv, a north-eastern front towards Kharkiv, a southern front from Crimea, and a south-eastern front from the Donbas. In response, Ukrainian president Volodymyr Zelenskyy enacted martial law and ordered a general mobilisation.
Russian troops had retreated from the northern front by April||u||486++ 2022||a||2++. On the southern and south-eastern fronts, Russia captured Kherson in March and then Mariupol in May after a destructive siege. On 18 April, Russia launched a renewed battle of Donbas. Russian forces continued to bomb both military and civilian targets far from the front line, including Ukraine's energy grid throughout the winter. In late 2022, Ukraine launched counteroffensives in the south and in the east. Soon after, Russia announced the illegal annexation of four partly-occupied oblasts. In November, Ukraine retook parts of Kherson Oblast, including the city of Kherson. Throughout February 2023, Russia mobilised nearly 200,000 soldiers for a renewed offensive in Donbas. In June 2023, Ukraine launched another counteroffensive in the southeast.
The invasion has been met with widespread international condemnation. The United Nations General Assembly passed Resolution ES-11/1 condemning the invasion and demanding a full withdrawal of Russian forces. The International Court of Justice ordered Russia to suspend military operations and the Council of Europe expelled Russia. Many countries imposed sanctions on Russia, and on its ally Belarus, and provided humanitarian and military aid to Ukraine. Protests occurred around the world; those in Russia were met with mass arrests and increased media censorship. Over 1,000 companies left Russia and Belarus in response to the invasion. The International Criminal Court (ICC) opened an investigation into possible crimes against humanity, war crimes, abduction of children, and genocide during the invasion, issuing an arrest warrant for Putin in March 2023.||u||526"
2023-06-17,1160652624,1160652255,2023-06-17T23:05:00Z,337961,"/* Russian annexations and occupation losses (6 September – 11 November 2022) */rmv link templates, these are all linked in appropriate subsections below",21,false,"On 24 February 2022, Russia invaded and occupied parts of Ukraine in a major escalation of the Russo-Ukrainian War, which had begun in 2014. The invasion has resulted in tens of thousands of deaths on both sides, and instigated Europe's largest refugee crisis since World War II. About 8 million Ukrainians were displaced within their country by June, and more than 8.2 million had fled the country by May 2023.
For months before the invasion, Russian troops had been concentrating around Ukraine's borders while Russian officials repeatedly denied plans to attack Ukraine. On 24 February 2022, Russian President Vladimir Putin announced a ""special military operation"" to support the Russian-controlled breakaway republics of Donetsk and Luhansk, whose military forces had been fighting Ukraine in the Donbas conflict. He said the goal was to ""demilitarise"" and ""denazify"" Ukraine. Putin espoused irredentist views, challenged Ukraine's right to exist, and falsely claimed that Ukraine was governed by neo-Nazis who persecuted the ethnic Russian minority. Minutes later, Russian air strikes and a ground invasion were launched along a northern front from Belarus towards Kyiv, a north-eastern front towards Kharkiv, a southern front from Crimea, and a south-eastern front from the Donbas. In response, Ukrainian president Volodymyr Zelenskyy enacted martial law and ordered a general mobilisation.
Russian troops had retreated from the northern front by April. On the southern and south-eastern fronts, Russia captured Kherson in March and then Mariupol in May after a destructive siege. On 18 April, Russia launched a renewed battle of Donbas. Russian forces continued to bomb both military and civilian targets far from the front line, including Ukraine's energy grid throughout the winter. In late 2022, Ukraine launched counteroffensives in the south and in the east. Soon after, Russia announced the illegal annexation of four partly-occupied oblasts. In November, Ukraine retook parts of Kherson Oblast, including the city of Kherson. Throughout February 2023, Russia mobilised nearly 200,000 soldiers for a renewed offensive in Donbas. In June 2023||u||722++,||a||1++ Ukraine launched another counteroffensive ||u||9++against||r||1++in||a||1++ the ||u||3++Russians in Kherson, Zaporozhia, and western Donetsk oblasts||r||17++southeast||a||1++.
The invasion has been met with widespread international condemnation. The United Nations General Assembly passed Resolution ES-11/1 condemning the invasion and demanding a full withdrawal of Russian forces. The International Court of Justice ordered Russia to suspend military operations and the Council of Europe expelled Russia. Many countries imposed sanctions on Russia, and on its ally Belarus, and provided humanitarian and military aid to Ukraine. Protests occurred around the world; those in Russia were met with mass arrests and increased media censorship. Over 1,000 companies left Russia and Belarus in response to the invasion. The International Criminal Court (ICC) opened an investigation into possible crimes against humanity, war crimes, abduction of children, and genocide during the invasion, issuing an arrest warrant for Putin in March 2023.||u||275"
2023-06-15,1160312501,1160312443,2023-06-15T17:43:14Z,340985,formatted some of the references,7,false,"On 24 February 2022, Russia invaded and occupied parts of Ukraine in a major escalation of the Russo-Ukrainian War, which had begun in 2014. The invasion has resulted in tens of thousands of deaths on both sides, and instigated Europe's largest refugee crisis since World War II. About 8 million Ukrainians were displaced within their country by June, and more than 8.2 million had fled the country by May 2023.
For months before the invasion, Russian troops had been concentrating around Ukraine's borders while Russian officials repeatedly denied plans to attack Ukraine. On 24 February 2022, Russian President Vladimir Putin announced a ""special military operation"" to support the Russian-controlled breakaway republics of Donetsk and Luhansk, whose military forces had been fighting Ukraine in the Donbas conflict. He said the goal was to ""demilitarise"" and ""denazify"" Ukraine. Putin espoused irredentist views, challenged Ukraine's right to exist, and falsely claimed that Ukraine was governed by neo-Nazis who persecuted the ethnic Russian minority. Minutes later, Russian air strikes and a ground invasion were launched along a northern front from Belarus towards Kyiv, a north-eastern front towards Kharkiv, a southern front from Crimea, and a south-eastern front from the Donbas. In response, Ukrainian president Volodymyr Zelenskyy enacted martial law and ordered a general mobilisation.
Russian troops had retreated from the northern front by April. On the southern and south-eastern fronts, Russia captured Kherson in March and then Mariupol in May after a destructive siege. On 18 April, Russia launched a renewed battle of Donbas. Russian forces continued to bomb both military and civilian targets far from the front line, including Ukraine's energy grid throughout the winter. In late 2022, Ukraine launched counteroffensives in the south and in the east. Soon after, Russia announced the illegal annexation of four partly-occupied oblasts. In November, Ukraine retook parts of Kherson Oblast, including the city of Kherson. ||u||685++On||r||1++Throughout||a||1++ ||u||1++7 ||r||2++February 2023, Russia mobilised nearly 200,000 soldiers for a renewed offensive ||u||25++towards||r||1++in||a||1++ ||u||1++Bakhmut||r||1++Donbas||a||1++. ||u||2++In June 2023 Ukraine launched another counteroffensive against the Russians in Kherson, Zaporozhia, and western Donetsk oblasts.
||a||37++The invasion has been met with widespread international condemnation. The United Nations General Assembly passed Resolution ES-11/1 condemning the invasion and demanding a full withdrawal of Russian forces. The International Court of Justice ordered Russia to suspend military operations and the Council of Europe expelled Russia. Many countries imposed sanctions on Russia, and on its ally Belarus, and provided humanitarian and military aid to Ukraine. Protests occurred around the world; those in Russia were met with mass arrests and increased media censorship. Over 1,000 companies left Russia and Belarus in response to the invasion. The International Criminal Court (ICC) opened an investigation into possible crimes against humanity, war crimes, abduction of children, and genocide during the invasion, issuing an arrest warrant for Putin in March 2023.||u||273"
2023-05-30,1157753260,1157712244,2023-05-30T18:56:30Z,327673,,4,false,"On 24 February 2022, Russia invaded and occupied parts of Ukraine in a major escalation of the Russo-Ukrainian War, which had begun in 2014. The invasion has resulted in tens of thousands of deaths on both sides, and instigated Europe's largest refugee crisis since World War II. About 8 million Ukrainians were displaced within their country by June, and more than 8.2 million had fled the country by May 2023.
For months before the invasion, Russian troops had been concentrating around Ukraine's borders while Russian officials repeatedly denied plans to attack Ukraine. On 24 February 2022, Russian President Vladimir Putin announced a ""special military operation"" to support the Russian-controlled breakaway republics of Donetsk and Luhansk, whose military forces had been fighting Ukraine in the Donbas conflict. He said the goal was to ""demilitarise"" and ""denazify"" Ukraine. Putin espoused irredentist views, challenged Ukraine's right to exist, and falsely claimed that Ukraine was governed by neo-Nazis who persecuted the ethnic Russian minority. Minutes later, Russian air strikes and a ground invasion were launched along a northern front from Belarus towards Kyiv, a north-eastern front towards Kharkiv, a southern front from Crimea, and a south-eastern front from the Donbas. In response, Ukrainian president Volodymyr Zelenskyy enacted martial law and ordered a general mobilisation.
Russian troops had retreated from the northern front by April. On the southern and south-eastern fronts, Russia captured Kherson in March and then Mariupol in May after a destructive siege. On 18 April, Russia launched a renewed battle of Donbas. Russian forces continued to bomb both military and civilian targets far from the front line, including Ukraine's energy grid throughout the winter. In late 2022, Ukraine launched counteroffensives in the south and in the east. Soon after, Russia announced the illegal annexation of four partly-occupied oblasts. In November, Ukraine retook parts of Kherson Oblast, including the city of Kherson. On 7 February 2023, Russia mobilised nearly 200,000 soldiers for a renewed offensive towards Bakhmut.
The invasion has been met with widespread international condemnation. The United Nations General Assembly passed Resolution ES-11/1 condemning the invasion and demanding a full withdrawal of Russian forces. The International Court of Justice ordered Russia to suspend military operations and the Council of Europe expelled Russia. Many countries imposed sanctions on Russia||u||829++,||a||1++ and ||u||3++on its ally ||a||6++Belarus, and provided humanitarian and military aid to Ukraine. Protests occurred around the world; those in Russia were met with mass arrests and increased media censorship. Over 1,000 companies left Russia and Belarus in response to the invasion. The International Criminal Court (ICC) opened an investigation into possible crimes against humanity, war crimes, abduction of children, and genocide during the invasion, issuing an arrest warrant for Putin in March 2023.||u||153"
